1 2 5.6612
1 3 11.7126
1 4 15.7246
1 5 18.5123
1 6 19.1662
1 7 20.0167
1 8 20.5384
1 9 20.9980
1 10 21.5200
1 11 21.9519
1 12 21.9476
1 13 22.1800
1 14 22.4127
1 15 22.5416
1 16 22.6946
1 17 23.3279
1 18 24.0952
1 19 24.5206
1 20 24.8194
1 21 25.3569
1 22 25.4263
1 23 26.0970
1 24 26.1507
1 25 26.8159
1 26 26.8281
1 27 27.1171
1 28 27.2880
1 29 27.2099
1 30 27.1639
1 31 27.6121
1 32 27.5022
1 33 27.8708
1 34 27.6977
1 35 27.8526
1 36 27.9995
1 37 28.0917
1 38 28.4198
1 39 28.6316
1 40 28.6867
1 41 29.1207
1 42 29.0130
1 43 29.1171
1 44 29.3725
1 45 29.5766
1 46 29.9867
1 47 30.1688
1 48 30.5778
1 49 30.7074
1 50 30.7190
1 51 31.2215
1 52 30.9640
1 53 30.9202
1 54 30.9124
1 55 30.6985
1 56 30.7389
1 57 30.2576
1 58 30.7506
1 59 30.4890
1 60 30.8381
2 1 11.7126
2 2 6.0514
2 5 12.8495
2 6 16.5536
2 7 18.8229
2 8 19.6197
2 9 20.2092
2 10 20.7313
2 11 21.1631
2 12 21.1588
2 13 21.3912
2 14 21.6637
2 15 21.7925
2 16 21.9455
2 17 22.5789
2 18 23.3461
2 19 23.7716
2 20 24.0704
2 21 24.6078
2 22 24.6825
2 23 25.3532
2 24 25.4069
2 25 26.1886
2 26 26.2024
2 27 26.4914
2 28 26.7394
2 29 26.6831
2 30 26.6371
2 31 27.1235
2 32 27.0198
2 33 27.3884
2 34 27.2153
2 35 27.3701
2 36 27.5171
2 37 27.6093
2 38 27.9374
2 39 28.1492
2 40 28.2043
2 41 28.6383
2 42 28.5306
2 43 28.6347
2 44 28.8901
2 45 29.0941
2 46 29.5043
2 47 29.6864
2 48 30.0954
2 49 30.2250
2 50 30.2366
2 51 30.7391
2 52 30.4815
2 53 30.4378
2 54 30.4300
2 55 30.2161
2 56 30.2565
2 57 29.7752
2 58 30.2682
2 59 30.0066
2 60 30.3557
3 1 18.5123
3 2 16.6552
3 3 12.8495
3 4 7.1009
3 6 6.8613
3 7 13.2301
3 8 16.8177
3 9 18.7755
3 10 19.8902
3 11 20.9131
3 12 20.9289
3 13 21.1710
3 14 21.4675
3 15 21.6216
3 16 21.7746
3 17 22.4079
3 18 23.1752
3 19 23.6006
3 20 23.8994
3 21 24.4369
3 22 24.5115
3 23 25.1823
3 24 25.2359
3 25 26.0177
3 26 26.0315
3 27 26.3204
3 28 26.5685
3 29 26.6198
3 30 26.6392
3 31 27.1257
3 32 27.0814
3 33 27.4500
3 34 27.2769
3 35 27.4317
3 36 27.5787
3 37 27.6709
3 38 27.9990
3 39 28.2108
3 40 28.2659
3 41 28.6999
3 42 28.5922
3 43 28.6963
3 44 28.9517
3 45 29.1557
3 46 29.5659
3 47 29.7480
3 48 30.1570
3 49 30.2866
3 50 30.2982
3 51 30.8007
3 52 30.5431
3 53 30.4994
3 54 30.4916
3 55 30.2777
3 56 30.3181
3 57 29.8368
3 58 30.3298
3 59 30.0682
3 60 30.4173
4 1 20.0167
4 2 19.7686
4 3 18.8229
4 4 16.7370
4 5 13.2301
4 6 6.3688
4 8 6.5922
4 9 13.1130
